Designator,Mid X,Mid Y,Rotation,Layer
BZ1,104.65,-89.2,0.0,top
C1,62.975,-76.0,0.0,top
C2,65.0,-70.55,90.0,top
C3,82.5,-70.249999,0.0,top
C4,68.01,-70.55,90.0,top
C5,57.525,-76.0,0.0,top
C6,71.02,-70.55,90.0,top
C7,103.432323,-76.6,0.0,top
C8,74.03,-70.55,90.0,top
D1,75.5,-93.0,180.0,top
D2,66.5,-56.05,180.0,top
D3,83.2,-93.0,180.0,top
D4,77.0,-53.5,270.0,top
D5,82.0,-53.5,270.0,top
J2,58.0,-52.9,270.0,top
J3,114.625,-74.0,0.0,top
J4,88.375,-51.4,0.0,top
J5,88.5,-68.615,0.0,top
K1,64.995,-84.7,0.0,top
L1,81.5,-82.0,0.0,top
L2,93.0,-82.0,0.0,top
LM2596HVGDP-1,59.0,-70.8,270.0,top
LM2596HVGDP-2,59.0,-63.8,270.0,top
Q1,71.71,-75.45,180.0,top
R1,76.4,-75.6,90.0,top
R2,67.95,-63.0,90.0,top
R3,70.9,-63.0,90.0,top
R4,73.85,-63.0,90.0,top
RTC,124.362601,-81.3,270.0,top
